,Time,Adres,Miasto,dlug,szer,Miejsce.zdarzenie,Rodzaj.zdarzenia,ucz1,ucz1_plec,ucz1_pod_wplywem,Ucz1DOB,ucz2,ucz2_plec,ucz2_pod_wplywem,Ucz2DOB,dzielnica,rok,miesiac,dzien,godzina,dzien_tyg,dzien_tyg_name
436,2019-12-27 21:30:00,KRAKÓW BASZTOWA  / WESTERPLATTE,Kraków,19.9388638,50.0662615,1,1,1,2,1,27,2,2,1,48,Stare Miasto,2019,12,27,21,4,Friday
437,2019-12-30 15:00:00,KRAKÓW NAD STRUGĄ  17,Kraków,19.95569303864727,50.08896295,3,1,1,1,1,50,2,1,1,34,Prądnik Czerwony,2019,12,30,15,0,Monday
438,2019-02-05 20:57:00,KRAKÓW ŻEROMSKIEGO  OS ZIELONE 22,Kraków,20.038576362247984,50.07914305,1,1,1,2,2,44,2,1,1,29,Nowa Huta,2019,2,5,20,1,Tuesday
439,2019-03-01 13:20:00,KRAKÓW FOCHA  KAŁUŻY 1,Kraków,19.9246371,50.0592709,6,1,1,2,1,53,1,2,1,24,Zwierzyniec,2019,3,1,13,4,Friday
440,2019-03-28 09:20:00,KRAKÓW PRĄDNICKA  LUBELSKA 21,Kraków,19.9359674,50.0751904,3,2,1,2,1,58,0,0,0,0,Krowodrza,2019,3,28,9,3,Thursday
441,2019-04-05 16:30:00,KRAKÓW ORLIŃSKIEGO  OS DYWZIJONU 303 7,Kraków,20.002222674225532,50.08015215,5,1,1,2,1,23,2,1,1,60,Czyżyny,2019,4,5,16,4,Friday
442,2019-04-16 12:15:00,KRAKÓW STELLA SAWICKIEGO  WYS. SKARŻYŃSKIEGO 8,Kraków,19.942353,50.0504747,6,2,1,1,1,74,0,0,0,0,Stare Miasto,2019,4,16,12,1,Tuesday
443,2019-04-22 13:15:00,KRAKÓW ANDERSA  SPYTKA Z MELSZTYNA 11,Kraków,20.0309326,50.0767604,4,2,1,1,2,59,0,0,0,0,Nowa Huta,2019,4,22,13,0,Monday
444,2019-04-23 11:30:00,KRAKÓW PUSZKARSKA  KAMIEŃSKIEGO 11,Kraków,19.9601831,50.0238506,2,1,1,2,1,36,2,1,1,51,Podgórze Duchackie,2019,4,23,11,1,Tuesday
445,2019-04-26 08:15:00,KRAKÓW MEDWECKIEGO  OS 2 PUŁKU LOTNICZEGO 41,Kraków,20.0073705,50.0763468,4,1,1,1,1,28,2,2,1,59,Czyżyny,2019,4,26,8,4,Friday
446,2019-05-14 10:38:00,KRAKÓW BRONIEWSKIEGO  OS NA LOTNISKU 2,Kraków,20.0214652,50.0899323,2,6,1,2,1,31,2,2,1,74,Bieńczyce,2019,5,14,10,1,Tuesday
447,2019-05-16 14:30:00,KRAKÓW WIŚLICKA  OS KOMBATANTÓW 20,Kraków,20.0022622,50.0889961,2,1,1,2,1,19,2,2,1,63,Mistrzejowice,2019,5,16,14,3,Thursday
448,2019-06-12 08:05:00,KRAKÓW RONDO POLSAD  / MŁYŃSKA,Kraków,19.957833465730342,50.05760175,2,1,1,2,1,35,2,2,1,43,Grzegórzki,2019,6,12,8,2,Wednesday
449,2019-06-16 01:20:00,KRAKÓW MIROWSKA  WYS. RZEKA SANKA,Kraków,19.8187194,50.0343039,6,6,1,2,1,31,0,0,0,0,Zwierzyniec,2019,6,16,1,6,Sunday
450,2019-06-19 12:00:00,KRAKÓW SŁAWKOWSKA  PLANTY,Kraków,19.9390228,50.06587860000001,1,1,1,1,1,18,2,2,1,34,Stare Miasto,2019,6,19,12,2,Wednesday
451,2019-06-24 10:25:00,KRAKÓW JODŁOWA  PRZEGORZALSKA 2,Kraków,19.8718384,50.0512528,1,4,1,1,1,17,2,2,1,33,Zwierzyniec,2019,6,24,10,0,Monday
452,2019-06-27 23:50:00,KRAKÓW PIELĘGNIAREK  BRATYSŁAWSKA 2,Kraków,19.9345871,50.0831333,1,1,1,2,2,29,2,2,1,23,Prądnik Biały,2019,6,27,23,3,Thursday
453,2019-06-29 22:25:00,KRAKÓW MONTE CASSINO  KAPELANKA 1A,Kraków,19.99715343583669,50.0469432,6,6,1,2,1,28,0,0,0,0,Podgórze,2019,6,29,22,5,Saturday
454,2019-07-10 21:40:00,KRAKÓW KOCMYRZOWSKA  OS PRZY ARCE 15,Kraków,20.0574091,50.0906764,4,1,1,2,1,17,2,2,1,54,Wzgórza Krzesławickie,2019,7,10,21,2,Wednesday
455,2019-08-02 09:55:00,KRAKÓW KAMIEŃSKIEGO  ŁAGIEWNICKA 48,Kraków,19.9568753,50.0288704,3,2,1,2,1,19,2,2,1,49,Podgórze,2019,8,2,9,4,Friday
456,2019-07-29 07:20:00,KRAKÓW RONDO POLSAD  / LUBLAŃSKA,Kraków,19.957833465730342,50.05760175,2,1,1,1,1,60,2,0,1,0,Grzegórzki,2019,7,29,7,0,Monday
457,2019-08-14 16:40:00,KRAKÓW PODGÓRSKA  WYS. MOST KOTLARSKI  / GĘSIA,Kraków,19.9546715,50.0513998,2,1,1,2,1,33,2,1,1,36,Grzegórzki,2019,8,14,16,2,Wednesday
458,2019-08-14 21:57:00,KRAKÓW RONDO WITA STWOSZA  / DWORZEC PKS,Kraków,19.957833465730342,50.05760175,4,1,1,1,2,23,2,2,1,24,Grzegórzki,2019,8,14,21,2,Wednesday
459,2019-08-18 18:27:00,KRAKÓW WŁODARCZYKA  OS DYWIZJONU 303 25,Kraków,20.0001029,50.0834154,1,1,1,2,1,57,2,2,1,31,Czyżyny,2019,8,18,18,6,Sunday
460,2019-08-20 14:00:00,KRAKÓW FRANCISZKAŃSKA  PLANTY,Kraków,19.9339206,50.0591218,2,1,1,2,1,20,2,2,1,19,Stare Miasto,2019,8,20,14,1,Tuesday
461,2019-08-20 20:35:00,KRAKÓW IKEA  CONRADA 66,Kraków,19.8983809,50.0899113,7,1,1,2,1,18,2,1,1,46,Prądnik Biały,2019,8,20,20,1,Tuesday
462,2019-08-26 18:00:00,KRAKÓW AL SŁOWACKIEGO  11A,Kraków,19.99715343583669,50.0469432,3,3,1,2,1,25,1,2,1,16,Podgórze,2019,8,26,18,0,Monday
463,2019-08-27 16:40:00,KRAKÓW ALEJA JANA PAWŁA II  OS CENTRUM D 1,Kraków,19.99715343583669,50.0469432,2,1,1,1,1,31,2,2,1,74,Podgórze,2019,8,27,16,1,Tuesday
464,2019-09-12 19:03:00,KRAKÓW RONDO GENERAŁA MACZKA  / ANDERSA,Kraków,19.957833465730342,50.05760175,2,1,1,1,1,39,2,2,1,37,Grzegórzki,2019,9,12,19,3,Thursday
465,2019-09-13 09:45:00,KRAKÓW TUNEL W RUSZCZY,Kraków,19.89688,50.03859600000001,9,6,1,2,1,60,0,0,0,0,Dębniki,2019,9,13,9,4,Friday
466,2019-09-16 21:30:00,KRAKÓW LUBOSTROŃ  BOBRZYŃSKIEGO 39B,Kraków,19.8896205,50.01640560000001,5,1,1,1,1,37,2,2,1,26,Dębniki,2019,9,16,21,0,Monday
467,2019-09-17 22:12:00,KRAKÓW RONDO MATECZNY  / KONOPNICKIEJ,Kraków,19.957833465730342,50.05760175,2,1,1,2,1,24,2,2,1,61,Grzegórzki,2019,9,17,22,1,Tuesday
468,2019-09-17 17:15:00,KRAKÓW DĄBROWSKIEJ  OS 2 PUŁKU LOTNICZEGO 2B,Kraków,20.0149004,50.0781135,2,1,1,2,1,32,2,1,1,44,Czyżyny,2019,9,17,17,1,Tuesday
469,2019-09-21 13:31:00,KRAKÓW OFIAR DĄBIA  BAJECZNA 20,Kraków,19.892055,50.0874706,1,9,1,2,1,21,0,0,0,0,Bronowice,2019,9,21,13,5,Saturday
470,2019-10-01 21:55:00,KRAKÓW SIENNA  PLANTY,Kraków,19.9411509,50.0604421,1,1,1,2,1,65,2,0,0,0,Stare Miasto,2019,10,1,21,1,Tuesday
471,2019-10-06 19:40:00,KRAKÓW RYDLÓWKA BOCZNA  31,Kraków,19.878046068078184,50.08780725,1,1,1,2,1,22,2,1,1,48,Bronowice,2019,10,6,19,6,Sunday
472,2019-10-13 16:55:00,KRAKÓW ANDERSA  OS CENTRUM D1,Kraków,20.0309326,50.0767604,3,2,1,2,1,47,0,0,0,0,Nowa Huta,2019,10,13,16,6,Sunday
473,2019-10-14 11:47:00,KRAKÓW OKULICKIEGO  OS STRUSIA 19,Kraków,19.9950474,50.087129,4,1,1,2,1,50,2,1,1,21,Czyżyny,2019,10,14,11,0,Monday
474,2019-10-25 15:50:00,KRAKÓW RÓŻ  OS CENTRUM B 2,Kraków,20.0375925,50.0728603,3,2,1,1,1,3,0,0,0,0,Nowa Huta,2019,10,25,15,4,Friday
475,2019-10-26 14:05:00,KRAKÓW HERBERTA  PRZYSTANEK SWOSZOWICE AUTOSTRA,Kraków,19.9447408,50.0100111,3,6,1,2,1,13,0,0,0,0,Podgórze Duchackie,2019,10,26,14,5,Saturday
476,2019-10-26 18:40:00,KRAKÓW WIŚLICKA  OS KOMBATANTÓW 20,Kraków,20.0022622,50.0889961,2,6,1,2,1,27,2,0,1,0,Mistrzejowice,2019,10,26,18,5,Saturday
477,2019-11-04 08:40:00,KRAKÓW RONDO POLSAD  / LUBLAŃSKA,Kraków,19.957833465730342,50.05760175,4,1,1,2,1,43,2,2,1,33,Grzegórzki,2019,11,4,8,0,Monday
478,2019-11-13 09:15:00,KRAKÓW AL MICKIEWICZA  3 MAJA 1,Kraków,19.99715343583669,50.0469432,1,6,1,2,1,46,0,0,0,0,Podgórze,2019,11,13,9,2,Wednesday
479,2019-11-18 01:59:00,KRAKÓW MYŚLIWSKA BOCZNA  78,Kraków,19.9958391,50.0451892,7,8,1,0,0,0,2,0,1,0,Podgórze,2019,11,18,1,0,Monday
480,2019-10-25 09:33:00,KRAKÓW RADZIKOWSKIEGO BOCZNA  94A,Kraków,19.883577,50.0899981,5,9,1,0,1,0,0,0,0,0,Bronowice,2019,10,25,9,4,Friday
481,2019-11-27 07:40:00,KRAKÓW SZPITALNA  PLANTY,Kraków,19.942688,50.0647876,1,1,1,2,1,15,2,1,1,27,Stare Miasto,2019,11,27,7,2,Wednesday
